transaction_id,order_id,user_id,transaction_date,amount,currency,payment_method,payment_provider,card_last_four,transaction_status,payment_gateway_ref,refund_amount,refund_date,authorization_code
TXN-2024-334053,ORD-2024-688508,1,2024-11-23 17:48:01,1264.94,USD,credit_card,visa,5506,completed,PG42868828,0.00,,AUT246316
TXN-2024-131244,ORD-2024-456778,1,2024-12-23 19:26:27,1552.56,USD,credit_card,amex,7912,completed,PG14265799,0.00,,AUT198246
TXN-2024-308496,ORD-2024-946335,1,2024-12-27 05:54:50,404.02,USD,debit_card,amex,1434,completed,PG85329037,0.00,,AUT850800
TXN-2025-391704,ORD-2025-407419,1,2025-01-07 05:17:15,4953.68,USD,bank_transfer,paypal,,pending,PG89089901,0.00,,AUT948749
TXN-2025-391369,ORD-2025-183667,1,2025-02-08 16:29:29,4538.20,USD,debit_card,amex,7924,completed,PG55667651,0.00,,AUT263032
TXN-2025-498382,ORD-2025-802729,1,2025-02-17 02:47:27,1704.91,USD,paypal,paypal,,completed,PG22448136,0.00,,AUT201414
TXN-2025-865179,ORD-2025-356702,1,2025-02-28 19:50:32,1085.60,USD,paypal,stripe,,completed,PG15831819,0.00,,AUT581741
TXN-2025-407419,ORD-2025-961722,1,2025-07-20 08:28:23,382.37,USD,credit_card,mastercard,2291,completed,PG84093639,0.00,,AUT969693
TXN-2025-148050,ORD-2025-514850,1,2025-08-03 19:58:46,5280.04,USD,paypal,paypal,,completed,PG19335534,0.00,,AUT793384
TXN-2025-205907,ORD-2025-883300,1,2025-08-27 00:39:33,3572.58,USD,paypal,paypal,,completed,PG41244663,0.00,,AUT498591
TXN-2025-488162,ORD-2025-892495,1,2025-08-29 00:03:05,417.44,USD,bank_transfer,stripe,,completed,PG31831063,0.00,,AUT472528
TXN-2025-765822,ORD-2025-500156,1,2025-11-09 21:14:00,3434.87,USD,paypal,paypal,,completed,PG91756179,0.00,,AUT279451
